message,emosi
"Sinyal 3 sering banget mati pas lagi nelpon, panik banget nggak bisa lanjut ngobrol sama teman.",1
"Jaringan 3 sering gangguan pas lagi telepon penting, bikin panik takut obrolan putus dan nggak bisa lanjut, komunikasi jadi terganggu.",1
"Kok bisa begini XL? Kuota sudah terisi tapi masih belum sampai. Sungguh menakutkan, bagaimana bisa seperti ini?",1
"Saya mencoba masuk ke akun layanan, tetapi kok tidak berhasil? Saya sudah coba reset password, tapi tetap tidak bisa login. Jadi saya khawatir banget, takutnya akun saya dihack. @Telkomsel mohon bantuannya, saya tidak bisa mengakses layanannya. 😨 #Tidak BisaLogin #TolongBantuan",1
"Indosat sering putus tiba-tiba, jadi saya khawatir jika ada urusan penting dengan atasan.",1
"@XL Axiata, nomor saya tiba-tiba tidak aktif, kenapa? 😰 Takut kehilangan.",1
Ngeri banget tiap kali harus pakai Telkomsel untuk ngobrol bareng keluarga di kampung. Sinyalnya sering kali berantakan sehingga membuat Anda khawatir tidak bisa terkoneksi saat dibutuhkan.,1
"Sinyal 3 sering banget mati sendiri, bikin panik kalau pas lagi ngomong sama klien penting. 📞 #3Mati",1
"Telkomsel sering banget mati sinyal pas lagi nelpon penting, panik kalau tiba-tiba putus.",1
"Telkomsel luncurin layanan anyar, jadi agak gugup. 😨",1
"Layanan Telkomsel internet lambat, was-was kalo harus kirim laporan kerja. 😲 #TelkomselLambat",1
Saya sering mendapat panggilan dari nomor tak dikenal di @Indosat. 😳 Takut ini scam.,1
"Axis sering banget mati mendadak pas browsing, khawatir banget nggak bisa akses info buat kerjaan dan ketinggalan berita penting, jadi nggak produktif dan merasa tertinggal.",1
"Kak tolong bantu, kartunya udah hangus dan sinyal hilang. Kartu ini penting banget buat data-data penting 😟",1
Siapa lagi yang mendapat telepon dari nomor tak dikenal yang mengaku dari @Telkomsel? Sangat menakutkan! 😟,1
Takut data dicuri lewat jaringan Telkomsel. #TelkomselTakut,1
"Nomorku dari SMP tiba-tiba hilang! 😰 Itu nomor yang sangat penting, bagaimana cara mengaktifkannya kembali? @Axis tolong bantu.",1
Nomor @Axis saya tiba-tiba menjadi tidak aktif. 😨 Takutnya gak bisa aktif lagi.,1
"Parno banget sama provider 3, takut data bocor.",1
"Kenapa nomor Indosat saya tiba-tiba terblokir? Benar-benar gugup, khawatir kehilangan kontak penting.",1
